battery,file,status,rows,first_time,last_time,local_cycles
CS2_35,CS2_35_9_7_10.xlsx,ok,15635,2010-08-31 13:30:15,2010-09-06 16:52:06,45
CS2_35,CS2_35_9_8_10.xlsx,ok,2350,2010-09-07 10:44:17,2010-09-08 09:09:17,7
CS2_36,CS2_36_10_04_10.xlsx,ok,2709,2010-09-30 15:15:22,2010-10-01 17:16:06,8
CS2_36,CS2_36_10_05_10.xlsx,ok,2752,2010-10-04 14:14:51,2010-10-05 16:35:35,9
CS2_36,CS2_36_10_14_10.xlsx,ok,17080,2010-10-06 09:37:03,2010-10-13 05:09:55,50
CS2_36,CS2_36_10_21_10.xlsx,ok,16973,2010-10-14 11:21:51,2010-10-21 06:18:16,50
CS2_36,CS2_36_10_28_10.xlsx,ok,16589,2010-10-21 10:03:20,2010-10-28 02:47:33,50
CS2_36,CS2_36_11_01_10.xlsx,ok,5299,2010-10-28 13:50:11,2010-10-30 17:54:37,17
CS2_36,CS2_36_11_15_10.xlsx,ok,15966,2010-11-08 12:42:15,2010-11-15 00:46:27,50
CS2_36,CS2_36_11_22_10.xlsx,ok,15369,2010-11-15 12:55:15,2010-11-21 21:52:40,50
CS2_36,CS2_36_11_24_10.xlsx,ok,4891,2010-11-22 13:15:42,2010-11-24 15:05:39,17
CS2_36,CS2_36_12_06_10.xlsx,ok,14202,2010-11-29 10:34:08,2010-12-05 12:44:24,50
CS2_36,CS2_36_12_13_10.xlsx,ok,13626,2010-12-06 12:33:56,2010-12-12 08:03:47,50
CS2_36,CS2_36_12_20_10.xlsx,ok,13027,2010-12-13 12:36:53,2010-12-19 04:19:47,50
CS2_36,CS2_36_12_23_10.xlsx,ok,6969,2010-12-20 12:10:10,2010-12-23 12:42:07,28
CS2_36,CS2_36_1_10_11.xlsx,ok,10371,2011-01-03 10:38:25,2011-01-08 09:12:33,50
CS2_36,CS2_36_1_18_11.xlsx,ok,8968,2011-01-10 11:47:49,2011-01-14 22:14:54,50
CS2_36,CS2_36_1_24_11.xlsx,ok,6660,2011-01-18 13:17:53,2011-01-22 05:45:34,50
CS2_36,CS2_36_1_28_11.xlsx,ok,5436,2011-01-24 10:54:44,2011-01-27 15:31:42,50
CS2_36,CS2_36_2_3_11.xlsx,ok,3434,2011-01-31 10:51:35,2011-02-02 13:30:00,50
CS2_36,CS2_36_8_17_10.xlsx,ok,1096,2010-08-16 13:45:06,2010-08-16 17:24:26,1
CS2_36,CS2_36_8_18_10.xlsx,ok,386,2010-08-17 14:31:07,2010-08-17 18:07:46,1
CS2_36,CS2_36_8_19_10.xlsx,ok,387,2010-08-18 10:59:32,2010-08-18 14:35:55,1
CS2_36,CS2_36_8_30_10.xlsx,ok,18785,2010-08-19 14:21:52,2010-08-26 20:09:19,50
CS2_36,CS2_36_9_14_10.xlsx,ok,17657,2010-09-07 10:44:17,2010-09-14 07:46:03,50
CS2_36,CS2_36_9_21_10.xlsx,ok,17675,2010-09-14 13:57:43,2010-09-21 11:54:07,50
CS2_36,CS2_36_9_30_10.xlsx,ok,17518,2010-09-21 15:48:03,2010-09-28 11:53:03,50
CS2_36,CS2_36_9_7_10.xlsx,ok,15831,2010-08-31 13:30:15,2010-09-06 16:51:43,44
CS2_37,CS2_37_10_04_10.xlsx,ok,8365,2010-09-28 09:39:06,2010-10-01 17:11:51,25
CS2_37,CS2_37_10_05_10.xlsx,ok,2793,2010-10-04 14:14:51,2010-10-05 16:35:44,9
CS2_37,CS2_37_10_14_10.xlsx,ok,16642,2010-10-06 09:37:04,2010-10-13 00:03:45,50
CS2_37,CS2_37_10_21_10.xlsx,ok,16405,2010-10-14 11:21:51,2010-10-21 01:47:34,50
CS2_37,CS2_37_10_28_10.xlsx,ok,16146,2010-10-21 10:03:20,2010-10-28 00:20:49,50
CS2_37,CS2_37_11_01_10.xlsx,ok,5266,2010-10-28 13:50:11,2010-10-30 17:54:27,17
CS2_37,CS2_37_11_08_10.xlsx,ok,15854,2010-11-01 14:23:58,2010-11-08 01:05:13,50
CS2_37,CS2_37_11_15_10.xlsx,ok,15751,2010-11-08 12:42:15,2010-11-14 21:58:55,50
CS2_37,CS2_37_11_22_10.xlsx,ok,15305,2010-11-15 12:55:15,2010-11-21 19:50:18,50
CS2_37,CS2_37_11_24_10.xlsx,ok,4914,2010-11-22 13:15:42,2010-11-24 15:03:15,17
CS2_37,CS2_37_12_06_10.xlsx,ok,14201,2010-11-29 10:34:08,2010-12-05 12:18:17,50
CS2_37,CS2_37_12_13_10.xlsx,ok,13749,2010-12-06 12:33:56,2010-12-12 10:08:07,50
CS2_37,CS2_37_12_20_10.xlsx,ok,13113,2010-12-13 12:36:53,2010-12-19 05:55:08,50
CS2_37,CS2_37_12_23_10.xlsx,ok,6995,2010-12-20 12:10:10,2010-12-23 12:42:25,28
CS2_37,CS2_37_1_10_11.xlsx,ok,11072,2011-01-03 10:38:25,2011-01-08 14:23:20,50
CS2_37,CS2_37_1_18_11.xlsx,ok,9871,2011-01-10 11:47:49,2011-01-15 04:47:03,50
CS2_37,CS2_37_1_24_11.xlsx,ok,7453,2011-01-18 13:17:53,2011-01-22 11:35:28,50
CS2_37,CS2_37_1_28_11.xlsx,ok,5856,2011-01-24 10:54:44,2011-01-27 18:37:37,49
CS2_37,CS2_37_2_3_11.xlsx,ok,3706,2011-01-31 10:51:35,2011-02-02 16:40:40,50
CS2_37,CS2_37_8_17_10.xlsx,ok,1087,2010-08-16 13:45:16,2010-08-16 17:23:52,1
CS2_37,CS2_37_8_18_10.xlsx,ok,382,2010-08-17 14:31:15,2010-08-17 18:06:33,1
CS2_37,CS2_37_8_19_10.xlsx,ok,382,2010-08-18 10:59:40,2010-08-18 14:34:43,1
CS2_37,CS2_37_8_30_10.xlsx,ok,18426,2010-08-19 14:22:00,2010-08-26 16:58:23,50
CS2_37,CS2_37_9_14_10.xlsx,ok,17112,2010-09-07 10:44:17,2010-09-14 03:16:56,50
CS2_37,CS2_37_9_21_10.xlsx,ok,17172,2010-09-14 13:57:43,2010-09-21 07:37:39,50
CS2_37,CS2_37_9_28_10.xlsx,ok,17197,2010-09-21 15:48:03,2010-09-28 09:01:40,50
CS2_37,CS2_37_9_7_10.xlsx,ok,15783,2010-08-31 13:30:15,2010-09-06 16:51:48,45
CS2_38,CS2_38_10_04_10.xlsx,ok,8334,2010-09-28 09:39:06,2010-10-01 17:16:24,25
CS2_38,CS2_38_10_05_10.xlsx,ok,2773,2010-10-04 14:14:51,2010-10-05 16:35:39,9
CS2_38,CS2_38_10_14_10.xlsx,ok,16653,2010-10-06 09:37:04,2010-10-13 01:28:39,50
CS2_38,CS2_38_10_21_10.xlsx,ok,16459,2010-10-14 11:21:51,2010-10-21 03:30:55,50
CS2_38,CS2_38_10_28_10.xlsx,ok,16087,2010-10-21 10:03:20,2010-10-27 22:47:20,50
CS2_38,CS2_38_11_01_10.xlsx,ok,5289,2010-10-28 13:50:12,2010-10-30 17:54:17,17
CS2_38,CS2_38_11_08_10.xlsx,ok,15824,2010-11-01 14:23:58,2010-11-07 22:26:05,50
CS2_38,CS2_38_11_15_10.xlsx,ok,16039,2010-11-08 12:42:15,2010-11-15 00:26:25,50
CS2_38,CS2_38_11_22_10.xlsx,ok,15621,2010-11-15 12:55:15,2010-11-21 21:28:46,50
CS2_38,CS2_38_11_24_10.xlsx,ok,5016,2010-11-22 13:15:42,2010-11-24 15:02:09,17
CS2_38,CS2_38_12_06_10.xlsx,ok,14647,2010-11-29 10:34:08,2010-12-05 14:26:39,50
CS2_38,CS2_38_12_13_10.xlsx,ok,14419,2010-12-06 12:33:56,2010-12-12 14:58:16,50
CS2_38,CS2_38_12_20_10.xlsx,ok,13923,2010-12-13 12:36:53,2010-12-19 11:01:49,50
CS2_38,CS2_38_12_23_10.xlsx,ok,7129,2010-12-20 12:10:10,2010-12-23 12:42:13,26
CS2_38,CS2_38_1_10_11.xlsx,ok,11894,2011-01-03 10:38:25,2011-01-08 20:17:17,50
CS2_38,CS2_38_1_18_11.xlsx,ok,11090,2011-01-10 11:47:49,2011-01-15 16:08:53,50
CS2_38,CS2_38_1_24_11.xlsx,ok,9085,2011-01-18 13:17:53,2011-01-23 02:17:07,50
CS2_38,CS2_38_1_28_11.xlsx,ok,6249,2011-01-24 10:54:44,2011-01-27 18:46:43,42
CS2_38,CS2_38_2_10_11.xlsx,ok,5552,2011-01-31 10:51:35,2011-02-03 18:00:14,50
CS2_38,CS2_38_2_4_11.xlsx,ok,5552,2011-01-31 10:51:35,2011-02-03 18:00:14,50
CS2_38,CS2_38_8_17_10.xlsx,ok,1089,2010-08-16 13:45:26,2010-08-16 17:26:08,1
CS2_38,CS2_38_8_18_10.xlsx,ok,381,2010-08-17 14:31:24,2010-08-17 18:08:47,1
CS2_38,CS2_38_8_19_10.xlsx,ok,380,2010-08-18 10:59:55,2010-08-18 14:37:06,1
CS2_38,CS2_38_8_30_10.xlsx,ok,18350,2010-08-19 14:22:08,2010-08-26 19:27:03,50
CS2_38,CS2_38_9_14_10.xlsx,ok,16614,2010-09-07 10:44:17,2010-09-14 10:21:25,50
CS2_38,CS2_38_9_21_10.xlsx,ok,17088,2010-09-14 13:57:43,2010-09-21 08:16:12,50
CS2_38,CS2_38_9_28_10.xlsx,ok,17077,2010-09-21 15:48:03,2010-09-28 08:16:16,50
CS2_38,CS2_38_9_7_10.xlsx,ok,14681,2010-08-31 13:30:16,2010-09-06 16:51:40,43
